,Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,year,City_Name,Crime_Description,Population,Crime Rate
15,17,03-01-2020 07:00,01-01-2020 16:00,02-01-2020 02:57,7,509,6,61,M,5,Other Crime,6,No,,2020,Ghaziabad,DRUG OFFENSE,1055190,66.7
16,18,04-01-2020 02:00,01-01-2020 17:00,01-01-2020 23:09,21,342,0,64,F,4,Fire Accident,2,No,,2020,Pune,ARSON,7345848,30.1
17,19,02-01-2020 20:00,01-01-2020 18:00,02-01-2020 10:42,2,480,4,11,M,6,Other Crime,3,Yes,24-01-2020 20:00,2020,Bangalore,CYBERCRIME,14008262,25.6
18,20,03-01-2020 18:00,01-01-2020 19:00,02-01-2020 18:02,2,369,7,62,F,0,Other Crime,2,Yes,05-03-2020 18:00,2020,Bangalore,EXTORTION,14008262,25.6
19,21,03-01-2020 22:00,01-01-2020 20:00,02-01-2020 02:33,8,251,18,50,F,5,Traffic Fatality,14,Yes,22-01-2020 22:00,2020,Hyderabad,TRAFFIC VIOLATION,11068877,26.0
20,22,03-01-2020 12:00,01-01-2020 21:00,02-01-2020 10:11,17,374,19,64,F,4,Other Crime,15,Yes,03-03-2020 12:00,2020,Mumbai,VANDALISM,21673149,20.4
21,23,02-01-2020 10:00,01-01-2020 22:00,01-01-2020 22:03,10,507,17,69,F,0,Other Crime,13,No,,2020,Jaipur,SHOPLIFTING,4308510,34.3
22,24,03-01-2020 09:00,01-01-2020 23:00,01-01-2020 23:40,4,322,19,77,F,4,Other Crime,18,No,,2020,Chennai,VANDALISM,12053697,20.7
23,25,03-01-2020 01:00,01-02-2020 00:00,02-01-2020 20:47,2,527,6,18,F,4,Other Crime,1,No,,2020,Bangalore,DRUG OFFENSE,14008262,25.6
24,26,02-01-2020 16:00,01-02-2020 01:00,02-01-2020 08:21,10,282,1,60,M,2,Violent Crime,15,Yes,12-03-2020 16:00,2020,Jaipur,ASSAULT,4308510,34.3
25,27,02-01-2020 06:00,01-02-2020 02:00,02-01-2020 04:02,21,247,11,49,M,0,Violent Crime,13,No,,2020,Pune,IDENTITY THEFT,7345848,30.1
26,28,02-01-2020 15:00,01-02-2020 03:00,02-01-2020 20:11,14,489,14,41,F,6,Other Crime,7,No,,2020,Lucknow,PUBLIC INTOXICATION,4038214,36.1
27,29,04-01-2020 14:00,01-02-2020 04:00,02-01-2020 19:56,2,387,19,33,F,1,Other Crime,19,No,,2020,Bangalore,VANDALISM,14008262,25.6
28,30,04-01-2020 23:00,01-02-2020 05:00,02-01-2020 09:35,3,517,2,37,F,6,Other Crime,4,No,,2020,Bhopal,BURGLARY,2624865,26.3
29,31,03-01-2020 07:00,01-02-2020 06:00,02-01-2020 13:06,3,570,10,32,F,1,Other Crime,13,No,,2020,Bhopal,HOMICIDE,2624865,26.3
30,32,04-01-2020 13:00,01-02-2020 07:00,02-01-2020 15:05,8,222,19,60,M,3,Other Crime,3,Yes,18-03-2020 13:00,2020,Hyderabad,VANDALISM,11068877,26.0
31,33,03-01-2020 04:00,01-02-2020 08:00,03-01-2020 03:01,5,319,12,73,F,3,Other Crime,19,No,,2020,Delhi,ILLEGAL POSSESSION,33807403,16.0
32,34,05-01-2020 07:00,01-02-2020 09:00,03-01-2020 02:40,20,575,20,24,F,1,Violent Crime,6,No,,2020,Patna,VEHICLE - STOLEN,2633243,26.4
33,35,04-01-2020 21:00,01-02-2020 10:00,02-01-2020 22:18,12,341,19,34,F,4,Other Crime,14,No,,2020,Kanpur,VANDALISM,3289142,33.8
34,36,04-01-2020 21:00,01-02-2020 11:00,02-01-2020 17:48,4,396,3,32,F,0,Other Crime,11,No,,2020,Chennai,COUNTERFEITING,12053697,20.7
35,37,03-01-2020 05:00,01-02-2020 12:00,03-01-2020 00:18,14,187,16,33,F,0,Violent Crime,9,Yes,02-07-2020 05:00,2020,Lucknow,SEXUAL ASSAULT,4038214,36.1
36,38,04-01-2020 05:00,01-02-2020 13:00,02-01-2020 18:04,26,280,17,22,F,1,Other Crime,14,No,,2020,Varanasi,SHOPLIFTING,1789047,19.8
37,39,03-01-2020 23:00,01-02-2020 14:00,02-01-2020 21:24,24,487,20,32,F,6,Violent Crime,13,Yes,11-03-2020 23:00,2020,Surat,VEHICLE - STOLEN,8330528,13.3
38,40,03-01-2020 02:00,01-02-2020 15:00,03-01-2020 14:05,17,154,9,69,F,1,Other Crime,10,Yes,15-01-2020 02:00,2020,Mumbai,FRAUD,21673149,20.4
39,41,05-01-2020 01:00,01-02-2020 16:00,03-01-2020 01:51,28,148,10,28,F,2,Other Crime,2,No,,2020,Visakhapatnam,HOMICIDE,2385110,30.5
40,42,03-01-2020 11:00,01-02-2020 17:00,03-01-2020 11:09,24,583,12,42,M,0,Other Crime,6,No,,2020,Surat,ILLEGAL POSSESSION,8330528,13.3
41,43,03-01-2020 03:00,01-02-2020 18:00,03-01-2020 09:30,5,172,8,40,M,5,Fire Accident,10,Yes,17-03-2020 03:00,2020,Delhi,FIREARM OFFENSE,33807403,16.0
42,44,04-01-2020 07:00,01-02-2020 19:00,03-01-2020 08:34,17,300,16,44,M,4,Violent Crime,7,No,,2020,Mumbai,SEXUAL ASSAULT,21673149,20.4
43,45,05-01-2020 19:00,01-02-2020 20:00,03-01-2020 06:22,13,387,0,44,F,0,Fire Accident,10,Yes,12-01-2020 19:00,2020,Kolkata,ARSON,155707786,1.6
44,46,04-01-2020 19:00,01-02-2020 21:00,03-01-2020 09:02,20,297,6,67,M,3,Other Crime,8,No,,2020,Patna,DRUG OFFENSE,2633243,26.4
45,47,05-01-2020 04:00,01-02-2020 22:00,03-01-2020 09:55,5,555,15,47,F,6,Violent Crime,9,No,,2020,Delhi,ROBBERY,33807403,16.0
46,48,05-01-2020 17:00,01-02-2020 23:00,03-01-2020 03:42,14,128,8,38,F,0,Fire Accident,14,Yes,14-03-2020 17:00,2020,Lucknow,FIREARM OFFENSE,4038214,36.1
47,49,05-01-2020 19:00,01-03-2020 00:00,03-01-2020 02:59,10,139,12,77,F,2,Other Crime,17,No,,2020,Jaipur,ILLEGAL POSSESSION,4308510,34.3
48,50,03-01-2020 13:00,01-03-2020 01:00,03-01-2020 06:06,8,561,6,37,F,0,Other Crime,7,No,,2020,Hyderabad,DRUG OFFENSE,11068877,26.0
49,51,03-01-2020 05:00,01-03-2020 02:00,03-01-2020 17:10,18,573,2,54,F,4,Other Crime,12,Yes,13-04-2020 05:00,2020,Nagpur,BURGLARY,3106340,33.9
50,52,05-01-2020 12:00,01-03-2020 03:00,03-01-2020 19:13,13,260,2,38,F,0,Other Crime,5,Yes,14-04-2020 12:00,2020,Kolkata,BURGLARY,155707786,1.6
51,53,05-01-2020 00:00,01-03-2020 04:00,03-01-2020 22:01,7,211,14,29,M,5,Other Crime,15,Yes,20-01-2020 00:00,2020,Ghaziabad,PUBLIC INTOXICATION,1055190,66.7
52,54,05-01-2020 10:00,01-03-2020 05:00,03-01-2020 18:47,5,312,2,75,M,1,Other Crime,2,No,,2020,Delhi,BURGLARY,33807403,16.0
53,55,06-01-2020 02:00,01-03-2020 06:00,03-01-2020 07:47,21,548,8,61,F,5,Fire Accident,5,No,,2020,Pune,FIREARM OFFENSE,7345848,30.1
54,56,04-01-2020 04:00,01-03-2020 07:00,03-01-2020 11:11,16,596,2,49,F,6,Other Crime,19,No,,2020,Meerut,BURGLARY,1835403,21.5
55,57,06-01-2020 01:00,01-03-2020 08:00,03-01-2020 20:16,12,188,16,67,F,2,Violent Crime,8,Yes,20-07-2020 01:00,2020,Kanpur,SEXUAL ASSAULT,3289142,33.8
56,58,03-01-2020 18:00,01-03-2020 09:00,03-01-2020 09:43,1,110,1,70,F,6,Violent Crime,15,No,,2020,Ahmedabad,ASSAULT,8854444,20.5
57,59,04-01-2020 14:00,01-03-2020 10:00,04-01-2020 02:40,4,449,18,75,F,0,Traffic Fatality,16,No,,2020,Chennai,TRAFFIC VIOLATION,12053697,20.7
58,60,05-01-2020 18:00,01-03-2020 11:00,04-01-2020 05:33,25,352,17,53,F,4,Other Crime,6,Yes,31-03-2020 18:00,2020,Thane,SHOPLIFTING,1261517,56.0
59,61,03-01-2020 22:00,01-03-2020 12:00,03-01-2020 15:04,17,196,17,16,M,5,Other Crime,10,No,,2020,Mumbai,SHOPLIFTING,21673149,20.4
60,62,05-01-2020 21:00,01-03-2020 13:00,04-01-2020 03:32,24,359,6,30,M,1,Other Crime,9,Yes,09-02-2020 21:00,2020,Surat,DRUG OFFENSE,8330528,13.3
61,63,03-01-2020 20:00,01-03-2020 14:00,04-01-2020 09:27,4,495,9,56,M,1,Other Crime,5,Yes,15-03-2020 20:00,2020,Chennai,FRAUD,12053697,20.7
62,64,06-01-2020 06:00,01-03-2020 15:00,03-01-2020 23:24,25,259,12,19,F,0,Other Crime,16,Yes,20-03-2020 06:00,2020,Thane,ILLEGAL POSSESSION,1261517,56.0
63,65,05-01-2020 18:00,01-03-2020 16:00,04-01-2020 00:59,28,289,6,58,F,1,Other Crime,19,No,,2020,Visakhapatnam,DRUG OFFENSE,2385110,30.5
64,66,06-01-2020 14:00,01-03-2020 17:00,04-01-2020 11:49,14,409,7,45,F,4,Other Crime,3,Yes,15-03-2020 14:00,2020,Lucknow,EXTORTION,4038214,36.1
65,67,03-01-2020 21:00,01-03-2020 18:00,04-01-2020 17:48,3,306,4,25,M,6,Other Crime,6,No,,2020,Bhopal,CYBERCRIME,2624865,26.3
66,68,04-01-2020 20:00,01-03-2020 19:00,04-01-2020 08:46,28,420,2,22,M,3,Other Crime,17,Yes,02-05-2020 20:00,2020,Visakhapatnam,BURGLARY,2385110,30.5
67,69,06-01-2020 09:00,01-03-2020 20:00,04-01-2020 02:24,8,469,14,59,F,1,Other Crime,8,Yes,17-01-2020 09:00,2020,Hyderabad,PUBLIC INTOXICATION,11068877,26.0
68,70,06-01-2020 12:00,01-03-2020 21:00,04-01-2020 17:23,28,292,8,31,F,2,Fire Accident,1,No,,2020,Visakhapatnam,FIREARM OFFENSE,2385110,30.5
69,71,06-01-2020 20:00,01-03-2020 22:00,04-01-2020 00:50,13,512,8,58,F,5,Fire Accident,6,No,,2020,Kolkata,FIREARM OFFENSE,155707786,1.6
70,72,05-01-2020 18:00,01-03-2020 23:00,04-01-2020 11:34,18,244,0,53,F,3,Fire Accident,1,Yes,23-03-2020 18:00,2020,Nagpur,ARSON,3106340,33.9
71,73,05-01-2020 21:00,01-04-2020 00:00,04-01-2020 07:58,14,269,2,35,F,0,Other Crime,2,No,,2020,Lucknow,BURGLARY,4038214,36.1
72,74,06-01-2020 05:00,01-04-2020 01:00,04-01-2020 03:01,4,524,0,36,M,2,Fire Accident,5,Yes,20-01-2020 05:00,2020,Chennai,ARSON,12053697,20.7
73,75,05-01-2020 02:00,01-04-2020 02:00,05-01-2020 01:45,1,404,4,70,F,3,Other Crime,18,No,,2020,Ahmedabad,CYBERCRIME,8854444,20.5
74,76,06-01-2020 00:00,01-04-2020 03:00,04-01-2020 20:57,5,191,19,52,M,1,Other Crime,7,Yes,26-01-2020 00:00,2020,Delhi,VANDALISM,33807403,16.0
75,77,04-01-2020 22:00,01-04-2020 04:00,04-01-2020 14:30,17,369,13,25,F,1,Other Crime,14,No,,2020,Mumbai,KIDNAPPING,21673149,20.4
76,78,05-01-2020 21:00,01-04-2020 05:00,04-01-2020 17:02,9,517,11,58,F,3,Violent Crime,10,Yes,29-03-2020 21:00,2020,Indore,IDENTITY THEFT,3393380,20.6
77,79,05-01-2020 20:00,01-04-2020 06:00,05-01-2020 03:40,17,229,15,39,F,5,Violent Crime,4,No,,2020,Mumbai,ROBBERY,21673149,20.4
78,80,07-01-2020 03:00,01-04-2020 07:00,04-01-2020 23:54,28,154,20,54,F,6,Violent Crime,15,Yes,15-01-2020 03:00,2020,Visakhapatnam,VEHICLE - STOLEN,2385110,30.5
79,81,05-01-2020 03:00,01-04-2020 08:00,04-01-2020 23:33,5,197,1,61,F,3,Violent Crime,10,Yes,04-03-2020 03:00,2020,Delhi,ASSAULT,33807403,16.0
80,82,06-01-2020 05:00,01-04-2020 09:00,04-01-2020 15:37,10,421,9,16,F,1,Other Crime,17,No,,2020,Jaipur,FRAUD,4308510,34.3
81,83,06-01-2020 12:00,01-04-2020 10:00,05-01-2020 09:17,17,305,15,25,F,2,Violent Crime,14,Yes,21-03-2020 12:00,2020,Mumbai,ROBBERY,21673149,20.4
82,84,04-01-2020 19:00,01-04-2020 11:00,05-01-2020 06:13,13,150,18,72,F,0,Traffic Fatality,9,Yes,20-01-2020 19:00,2020,Kolkata,TRAFFIC VIOLATION,155707786,1.6
83,85,05-01-2020 18:00,01-04-2020 12:00,04-01-2020 12:40,14,542,14,48,M,2,Other Crime,3,No,,2020,Lucknow,PUBLIC INTOXICATION,4038214,36.1
84,86,06-01-2020 17:00,01-04-2020 13:00,05-01-2020 06:42,17,438,19,22,M,4,Other Crime,5,Yes,11-03-2020 17:00,2020,Mumbai,VANDALISM,21673149,20.4
85,87,07-01-2020 06:00,01-04-2020 14:00,04-01-2020 16:00,14,498,14,30,F,2,Other Crime,10,Yes,18-01-2020 06:00,2020,Lucknow,PUBLIC INTOXICATION,4038214,36.1
86,88,07-01-2020 03:00,01-04-2020 15:00,04-01-2020 22:04,22,345,15,11,F,2,Violent Crime,1,No,,2020,Rajkot,ROBBERY,2096981,15.3
87,89,06-01-2020 22:00,01-04-2020 16:00,04-01-2020 21:21,17,108,10,16,F,3,Other Crime,6,No,,2020,Mumbai,HOMICIDE,21673149,20.4
88,90,06-01-2020 18:00,01-04-2020 17:00,05-01-2020 06:38,8,219,20,73,F,0,Violent Crime,12,No,,2020,Hyderabad,VEHICLE - STOLEN,11068877,26.0
89,91,05-01-2020 04:00,01-04-2020 18:00,05-01-2020 17:15,13,219,2,72,F,5,Other Crime,9,No,,2020,Kolkata,BURGLARY,155707786,1.6
90,92,04-01-2020 20:00,01-04-2020 19:00,05-01-2020 09:21,10,510,4,60,F,6,Other Crime,7,No,,2020,Jaipur,CYBERCRIME,4308510,34.3
91,93,05-01-2020 16:00,01-04-2020 20:00,05-01-2020 07:36,8,597,9,53,M,6,Other Crime,13,Yes,01-04-2020 16:00,2020,Hyderabad,FRAUD,11068877,26.0
92,94,06-01-2020 21:00,01-04-2020 21:00,05-01-2020 08:12,17,272,16,42,F,2,Violent Crime,3,No,,2020,Mumbai,SEXUAL ASSAULT,21673149,20.4
93,95,06-01-2020 08:00,01-04-2020 22:00,04-01-2020 22:16,27,413,14,10,M,2,Other Crime,11,No,,2020,Vasai,PUBLIC INTOXICATION,1423890,25.4
94,96,06-01-2020 08:00,01-04-2020 23:00,05-01-2020 14:10,8,355,6,51,F,0,Other Crime,7,No,,2020,Hyderabad,DRUG OFFENSE,11068877,26.0
95,97,06-01-2020 02:00,01-05-2020 00:00,05-01-2020 15:36,18,523,11,26,F,1,Violent Crime,5,Yes,12-02-2020 02:00,2020,Nagpur,IDENTITY THEFT,3106340,33.9
96,98,06-01-2020 17:00,01-05-2020 01:00,05-01-2020 02:56,13,486,16,71,M,0,Violent Crime,6,No,,2020,Kolkata,SEXUAL ASSAULT,155707786,1.6
97,99,06-01-2020 23:00,01-05-2020 02:00,05-01-2020 14:38,8,292,11,74,F,1,Violent Crime,15,Yes,23-01-2020 23:00,2020,Hyderabad,IDENTITY THEFT,11068877,26.0
98,100,06-01-2020 20:00,01-05-2020 03:00,05-01-2020 06:41,8,455,6,13,F,4,Other Crime,13,Yes,22-01-2020 20:00,2020,Hyderabad,DRUG OFFENSE,11068877,26.0
99,101,06-01-2020 23:00,01-05-2020 04:00,05-01-2020 14:02,1,515,14,50,F,3,Other Crime,1,Yes,14-01-2020 23:00,2020,Ahmedabad,PUBLIC INTOXICATION,8854444,20.5
100,102,05-01-2020 16:00,01-05-2020 05:00,05-01-2020 22:34,17,566,7,69,F,1,Other Crime,18,No,,2020,Mumbai,EXTORTION,21673149,20.4
101,103,07-01-2020 00:00,01-05-2020 06:00,05-01-2020 17:43,12,419,1,34,F,4,Violent Crime,6,No,,2020,Kanpur,ASSAULT,3289142,33.8
102,104,07-01-2020 16:00,01-05-2020 07:00,05-01-2020 14:13,17,250,20,38,F,5,Violent Crime,14,Yes,19-02-2020 16:00,2020,Mumbai,VEHICLE - STOLEN,21673149,20.4
103,105,06-01-2020 23:00,01-05-2020 08:00,05-01-2020 19:30,14,597,9,44,F,0,Other Crime,16,No,,2020,Lucknow,FRAUD,4038214,36.1
104,106,06-01-2020 00:00,01-05-2020 09:00,05-01-2020 10:05,8,583,20,69,F,6,Violent Crime,12,Yes,22-02-2020 00:00,2020,Hyderabad,VEHICLE - STOLEN,11068877,26.0
105,107,05-01-2020 11:00,01-05-2020 10:00,05-01-2020 17:21,14,342,5,12,F,0,Violent Crime,1,No,,2020,Lucknow,DOMESTIC VIOLENCE,4038214,36.1
106,108,07-01-2020 12:00,01-05-2020 11:00,06-01-2020 09:35,2,417,0,21,F,5,Fire Accident,3,Yes,09-02-2020 12:00,2020,Bangalore,ARSON,14008262,25.6
107,109,07-01-2020 20:00,01-05-2020 12:00,06-01-2020 00:07,4,169,14,55,F,0,Other Crime,8,No,,2020,Chennai,PUBLIC INTOXICATION,12053697,20.7
108,110,05-01-2020 17:00,01-05-2020 13:00,05-01-2020 23:32,5,464,0,15,F,4,Fire Accident,9,No,,2020,Delhi,ARSON,33807403,16.0
109,111,07-01-2020 04:00,01-05-2020 14:00,05-01-2020 23:24,28,500,12,58,F,1,Other Crime,5,Yes,16-02-2020 04:00,2020,Visakhapatnam,ILLEGAL POSSESSION,2385110,30.5
110,112,08-01-2020 05:00,01-05-2020 15:00,06-01-2020 07:02,5,183,3,37,F,6,Other Crime,6,No,,2020,Delhi,COUNTERFEITING,33807403,16.0
111,113,07-01-2020 09:00,01-05-2020 16:00,06-01-2020 14:55,2,270,10,49,F,3,Other Crime,7,Yes,08-11-2021 09:00,2020,Bangalore,HOMICIDE,14008262,25.6
112,114,06-01-2020 15:00,01-05-2020 17:00,06-01-2020 06:42,24,259,7,30,M,5,Other Crime,5,No,,2020,Surat,EXTORTION,8330528,13.3
113,115,07-01-2020 13:00,01-05-2020 18:00,06-01-2020 08:02,21,184,8,50,F,0,Fire Accident,15,Yes,03-02-2020 13:00,2020,Pune,FIREARM OFFENSE,7345848,30.1
114,116,05-01-2020 20:00,01-05-2020 19:00,06-01-2020 06:26,17,353,2,64,F,3,Other Crime,10,No,,2020,Mumbai,BURGLARY,21673149,20.4
115,117,07-01-2020 04:00,01-05-2020 20:00,06-01-2020 10:15,14,235,19,43,M,5,Other Crime,14,Yes,13-03-2020 04:00,2020,Lucknow,VANDALISM,4038214,36.1
116,118,06-01-2020 20:00,01-05-2020 21:00,06-01-2020 02:16,5,287,6,32,M,1,Other Crime,13,Yes,30-03-2020 20:00,2020,Delhi,DRUG OFFENSE,33807403,16.0
117,119,07-01-2020 19:00,01-05-2020 22:00,05-01-2020 23:48,17,257,12,14,M,5,Other Crime,3,Yes,27-02-2020 19:00,2020,Mumbai,ILLEGAL POSSESSION,21673149,20.4
118,120,07-01-2020 02:00,01-05-2020 23:00,06-01-2020 07:04,21,537,18,70,M,6,Traffic Fatality,3,Yes,27-01-2020 02:00,2020,Pune,TRAFFIC VIOLATION,7345848,30.1
119,121,07-01-2020 14:00,01-06-2020 00:00,06-01-2020 12:16,1,277,20,78,F,2,Violent Crime,10,Yes,22-01-2020 14:00,2020,Ahmedabad,VEHICLE - STOLEN,8854444,20.5
120,122,08-01-2020 19:00,01-06-2020 01:00,06-01-2020 22:59,5,321,13,22,F,4,Other Crime,19,Yes,06-04-2020 19:00,2020,Delhi,KIDNAPPING,33807403,16.0
121,123,06-01-2020 04:00,01-06-2020 02:00,07-01-2020 00:00,3,432,19,60,F,6,Other Crime,4,No,,2020,Bhopal,VANDALISM,2624865,26.3
122,124,08-01-2020 23:00,01-06-2020 03:00,06-01-2020 06:56,15,129,16,44,F,0,Violent Crime,2,No,,2020,Ludhiana,SEXUAL ASSAULT,1988438,38.3
123,125,09-01-2020 00:00,01-06-2020 04:00,06-01-2020 19:19,21,347,9,30,M,3,Other Crime,14,No,,2020,Pune,FRAUD,7345848,30.1
124,126,09-01-2020 02:00,01-06-2020 05:00,06-01-2020 05:15,21,127,1,62,F,6,Violent Crime,10,No,,2020,Pune,ASSAULT,7345848,30.1
125,127,07-01-2020 07:00,01-06-2020 06:00,07-01-2020 00:44,24,117,8,42,F,6,Fire Accident,8,No,,2020,Surat,FIREARM OFFENSE,8330528,13.3
126,128,07-01-2020 04:00,01-06-2020 07:00,07-01-2020 02:17,7,339,11,73,F,3,Violent Crime,2,Yes,01-04-2020 04:00,2020,Ghaziabad,IDENTITY THEFT,1055190,66.7
127,129,09-01-2020 04:00,01-06-2020 08:00,06-01-2020 12:39,12,374,17,25,M,1,Other Crime,15,No,,2020,Kanpur,SHOPLIFTING,3289142,33.8
128,130,08-01-2020 14:00,01-06-2020 09:00,06-01-2020 14:55,7,111,15,33,M,4,Violent Crime,3,Yes,20-05-2020 14:00,2020,Ghaziabad,ROBBERY,1055190,66.7
129,131,08-01-2020 13:00,01-06-2020 10:00,06-01-2020 19:26,0,331,0,13,F,5,Fire Accident,19,No,,2020,Agra,ARSON,2422342,31.5
130,132,07-01-2020 04:00,01-06-2020 11:00,07-01-2020 06:55,14,295,11,39,F,3,Violent Crime,8,No,,2020,Lucknow,IDENTITY THEFT,4038214,36.1
131,133,06-01-2020 23:00,01-06-2020 12:00,06-01-2020 19:17,2,309,10,18,M,6,Other Crime,2,No,,2020,Bangalore,HOMICIDE,14008262,25.6
132,134,06-01-2020 22:00,01-06-2020 13:00,07-01-2020 00:56,14,465,12,75,F,3,Other Crime,8,No,,2020,Lucknow,ILLEGAL POSSESSION,4038214,36.1
133,135,06-01-2020 18:00,01-06-2020 14:00,07-01-2020 07:26,5,406,19,50,F,4,Other Crime,15,No,,2020,Delhi,VANDALISM,33807403,16.0
134,136,09-01-2020 07:00,01-06-2020 15:00,07-01-2020 02:16,5,278,9,71,F,4,Other Crime,7,No,,2020,Delhi,FRAUD,33807403,16.0
135,137,07-01-2020 23:00,01-06-2020 16:00,07-01-2020 01:01,1,569,14,38,F,1,Other Crime,12,Yes,23-01-2020 23:00,2020,Ahmedabad,PUBLIC INTOXICATION,8854444,20.5
136,138,08-01-2020 12:00,01-06-2020 17:00,06-01-2020 20:11,17,445,1,12,M,0,Violent Crime,6,No,,2020,Mumbai,ASSAULT,21673149,20.4
137,139,08-01-2020 17:00,01-06-2020 18:00,07-01-2020 07:11,12,465,13,57,F,4,Other Crime,2,No,,2020,Kanpur,KIDNAPPING,3289142,33.8
138,140,08-01-2020 16:00,01-06-2020 19:00,07-01-2020 01:17,10,404,4,47,F,2,Other Crime,16,Yes,06-02-2020 16:00,2020,Jaipur,CYBERCRIME,4308510,34.3
139,141,08-01-2020 13:00,01-06-2020 20:00,07-01-2020 14:13,5,270,5,73,F,4,Violent Crime,14,No,,2020,Delhi,DOMESTIC VIOLENCE,33807403,16.0
140,142,07-01-2020 23:00,01-06-2020 21:00,07-01-2020 06:34,17,113,8,41,F,0,Fire Accident,4,Yes,27-03-2020 23:00,2020,Mumbai,FIREARM OFFENSE,21673149,20.4
141,143,07-01-2020 09:00,01-06-2020 22:00,07-01-2020 12:37,17,278,12,45,F,6,Other Crime,2,No,,2020,Mumbai,ILLEGAL POSSESSION,21673149,20.4
142,144,07-01-2020 06:00,01-06-2020 23:00,07-01-2020 16:49,26,487,1,79,F,2,Violent Crime,14,Yes,04-02-2020 06:00,2020,Varanasi,ASSAULT,1789047,19.8
143,145,08-01-2020 20:00,01-07-2020 00:00,07-01-2020 03:38,15,172,11,17,M,2,Violent Crime,10,No,,2020,Ludhiana,IDENTITY THEFT,1988438,38.3
144,146,08-01-2020 01:00,01-07-2020 01:00,07-01-2020 16:44,13,165,14,15,F,3,Other Crime,16,No,,2020,Kolkata,PUBLIC INTOXICATION,155707786,1.6
145,147,07-01-2020 16:00,01-07-2020 02:00,07-01-2020 18:49,16,514,4,44,F,4,Other Crime,6,Yes,26-01-2020 16:00,2020,Meerut,CYBERCRIME,1835403,21.5
146,148,07-01-2020 16:00,01-07-2020 03:00,07-01-2020 22:27,2,262,3,28,F,3,Other Crime,8,No,,2020,Bangalore,COUNTERFEITING,14008262,25.6
147,149,07-01-2020 06:00,01-07-2020 04:00,08-01-2020 01:09,0,558,11,41,F,6,Violent Crime,5,Yes,27-02-2020 06:00,2020,Agra,IDENTITY THEFT,2422342,31.5
148,150,07-01-2020 08:00,01-07-2020 05:00,07-01-2020 11:19,20,157,17,46,F,3,Other Crime,1,Yes,03-04-2020 08:00,2020,Patna,SHOPLIFTING,2633243,26.4
